"tokipona","english"
"jan sona pilin","psychologist"
"jan sona sijelo","doctor, physician"
"jan suli","big, tall or fat person, adult"
"jan toki","speaker, messenger, person communicating"
"jan unpa","lover, prostitute"
"jan utala","soldier"
"jan utala nasa","stupid soldier"
"jan utala nasa mute","many stupid soldiers"
"jan wawa","a strong person"
"jo ala e selo lon pini palisa","circumcised, cut"
"jo e linja mute","to be hairy"
"jo e mani mute","to be rich"
"jo e pilin pona","to have positive feelings, be mentally healthy"
"jo e selo lon pini palisa","uncircumcised, uncut"
"jo e sijelo pona","to be (physically) healthy"
"kala kule mute","The Rainbow Fish"
"kala lete","raw fish, sushi"
"kalama musi","music, song"
"kama jo","get"
"kama jo e lupa meli","to get genital reconstruction surgery as a women, i.e. vaginoplasty"
"kama jo e palisa mije","to get genital reconstruction surgery as a man, i.e. metoidioplasty, phalloplasty"
"kama jo e sinpin lawa meli","to get facial feminization surgery"
"kama jo e sinpin mije","to get male chest reconstruction surgery"
"kama olin","fall in love with"
"kama pona!","Come well! Welcome!"
"kasi anpa","grass"
"kasi kule","flower"
"kasi nasa","intoxicating plant, e.g. marijuana"
"kasi sona","intoxicating plant used in meditation, e.g. marijuana"
"kasi suli","trees, big shrubs"
"kasi wawa","spice"
"kepeken kasi nasa","to smoke pot"
"kepeken lili e ilo nasa","to use drugs in moderation"
"kepeken utala","to use violence"
"kili lili","small vegetable, fruit, e.g. berry, olive"
"kili lili kiwen","nut"
"kili loje","reddish fruit or vegetable, e.g. tomato"
"kili ma","earth vegetable, e.g. potato"
"kili palisa","long fruit or vegetable, e.g. carrot, banana, cucumber"
"ko (walo) wawa","cocaine"
"ko jaki","shit, feces, pooh"
"ko jaki lon nena sinpin","boogers"
"kon en sewi","weather"
"kule lon palisa luka","nail polish"
"kulupu mama","family"
"kulupu pi toki pona","the Toki Pona community"
"laso pimeja","dark blue"
"lawa e pilin","to master one's feelings, be composed"
"len lawa","hat, hood, bonnet, headdress"
"len luka","gloves, mittens"
"len noka","shoe, pants"
"linja lawa","hair (of head)"
"linja lili oko","eyebrows, eyelashes"
"linja sinpin","beard, facial hair"
"linja uta","moustache"
"lipu toki","paper with written information, document, text, book, report"
"loje walo","light red, pink"
"lon tenpo pi pali ala","to be taking a sabbatical, break from work"
"lukin e toki","read"
"lukin jo e pali","to be looking for a job"
"lupa jaki","anus"
"lupa kute","ear"
"lupa meli","vagina"
"lupa monsi","anus"
"lupa nena","nostrils"
"lupa pi telo jelo","urethra"
"ma kasi","forest, jungle"
"ma sina","your country"
"ma telo","mud, swamp"
"ma tomo","city, town"
"ma tomo lawa","capital"
"mama meli","mother"
"mama mije","father"
"mama pi mama mi","my grandparent"
"meli (insa)","person who identifies as female, e.g. male-to-female transgender person"
"meli en mije","Gender"
"meli lili","daughter"
"meli mije","masculine girl, butch, tomboy"
"meli pi pana moku","waitress"
"meli sama","sister"
"meli unpa","female sexual partner"
"mi mute","we, us"
"mije (insa)","person who identifies as male, e.g. female-to-male transgender person"
"mije (olin)","husband, boyfriend"
"mije li lon sewi meli","missionary position"
"mije lili","son"
"mije meli","feminine guy"
"mije sama","brother"
"mije unpa","male sexual partner"
"mile moku e telo","to be thirsty"
"moku e telo","to drink"
"moku lili","snack, pill, small ingestible item"
"moku lili pi pilin pona mute","strong euphoric drug taken orally, e.g. MDMA"
"moku suwi","sweets, candy, chololate, etc."
"moku telo","liquid food, e.g. soup"
"moku walo","whiteish food, e.g. rice"
"mun li pimeja e suno","solar eclipse"
"nasa lukin","funny-looking"
"nasin pi anpa suno","West"
"nasin pi kama suno","East"
"nasin pi toki pona","the ideology behind Toki Pona"
"nasin pona","Taoism, simple or good path"
"nasin sewi","religion, spiritual path"
"nena (lawa)","nose"
"nena kon","nose"
"nena kute","ear"
"nena lili (unpa) meli","clitoris"
"nena lili pi nena mama","nipples"
"nena meli","breasts"
"nena sike meli","female breasts"
"nimi pi mi mute","our names"
"o awen!","Wait!"
"olin e jan mute","to be polyamorous"
"olin e meli","to love women"
"olin e meli e mije","to love women and men"
"olin e mije","to love men"
"pali","Work"
"pali ala","not working"
"pali e ike tawa","to do bad things to, to show disrespect for"
"palisa (mije)","penis"
"palisa lili noka","toes"
"palisa luka","finger"
"palisa mije","penis"
"palisa tawa","vibrating dildo"
"palisa uta","tongue"
"pana e ko jaki","to pooh, to shit"
"pana e kon (pi pilin) pona","to laugh"
"pana e moku tawa","to feed, nourish"
"pana e palisa lon lupa","to penetrate"
"pana e palisa uta lon","to lick"
"pana e pilin pona tawa","to send positivity to, make feel good"
"pana e sona","to teach (give knowledge)"
"pana e telo (walo) mije","to ejaculate"
"pana e telo jelo","to pee, to urinate"
"pana e telo oko","to cry, weep"
"pana e uta lon lupa (meli)","to perform cunnilingus"
"pana e uta lon palisa","to fellate"
"pana wawa","BDSM"
"pilin ala","indifferent, unfeeling"
"pilin e ike jan","to pity somebody, feel bad for somebody"
"pilin e moli jan","to mourn somebody"
"pilin e weka jan","to miss somebody"
"pilin ike","to feel bad, sad, depressed, unhappy, bitter, discontented, grumpy"
"pilin ike tan","be afraid of, sad because of, regret, be offended by"
"pilin ike tawa","to have negative feelings for, be upset at, angry at, hate, resent"
"pilin ike wawa","to have intense negative feelings, be pissed off, furious"
"pilin nasa","to feel silly, strange, weird, crazy, drunk, high"
"pilin pona","to feel good, happy, content, enjoy oneself, comfortable"
"pilin pona mute","to feel great, amazing, awesome"
"pilin pona tan","to feel good because of, to enjoy"
"pilin wawa","to feel strong, energetic, excited, confident, proud"
"pilin wawa unpa","orgasm"
"Pilisin","Palestine"
"pini pi nena mama","nipples"
"poka pi luka sitelen","right side, right"
"poka pi luka sitelen ala","left side, left"
"poka telo","water side, the beach"
"poki kon","lungs"
"poki lete","refrigerator"
"poki seli","oven, microwave"
"poki telo","sink, bathtub"
"pona e pilin jan","cheer up, make somebody happy"
"pona lukin","beautiful, pretty, handsome, attractive"
"pona moku","delicious, tasty"
"pona unpa","sexy, good in bed"
"selo lon pini palisa","foreskin"
"seme?","Pardon?"
"sewi monsi","upper back, shoulders"
"sewi pi sinpin lawa","forehead"
"sike mama waso","egg"
"sike mije","man's testicles"
"sike tu","bicycle"
"sitelen e toki","to write"
"sitelen lape","dreams"
"sitelen ma","map"
"sitelen tawa","movie, TV show"
"sitelen toki","writing"
"sitelen unpa","visual erotica, porn"
"sona e toki","to know, speak, understand a language"
"sona mute","smart, intelligent, wise"
"sona pona e toki","to master a language"
"soweli pi poki sinpin","kangaroo"
"soweli waso","bat"
"supa lape","bed"
"supa lawa","pillow"
"supa moku","dinner table"
"supa monsi","chair, couch"
"supa pali","work desk"
"Sutan","Sudan"
"suwi lukin","cute"
"tawa musi","dance (move entertainingly)"
"telo (loje) mun","menstrual flow, menustration"
"telo (walo) mije","sperm, come"
"telo e mi","to shower"
"telo jaki lon nena sinpin","snot"
"telo jelo","urine, pee"
"telo kili","juice"
"telo kili ni li ' suwi.","This fruit drink is sweet."
"telo kiwen","ice"
"telo kiwen lili li kama","it's hailing"
"telo li kama","it's raining"
"telo lili li lon kon","it's humid"
"telo loje","blood"
"telo mama soweli","cow milk"
"telo nasa","alcohol, beer, wine"
"telo nasa pi wawa ala","weak beer, US American beer"
"telo nasa wawa","vodka, whisky,"
"telo pi lape ala","coffee"
"telo seli","hot beverage, e.g. coffee"
"telo seli jelo","green tea"
"telo seli pimeja pi lape ala","coffee"
"telo seli wawa","coffee"
"telo sijelo loje","blood (red bodily fluid)"
"telo wawa","energy drink"
"tenpo ala","never"
"tenpo ali","always, all the time"
"tenpo kama","the future (coming time)"
"tenpo kama lili","soon (little coming time)"
"tenpo lete","winter"
"tenpo lili","in a while, soon, moment, briefly"
"tenpo moku","mealtime"
"tenpo mute","often (many times)"
"tenpo ni","now, the present"
"tenpo pi kasi loje (jelo)","autumn, fall"
"tenpo pimeja","night"
"tenpo pimeja kama","forthcoming night"
"tenpo pimeja mute","many nights"
"tenpo pimeja ni","tonight"
"tenpo pimeja pini","last night"
"tenpo pimeja sin","in the evening"
"tenpo pini","the past (past time)"
"tenpo pini lili","just recently"
"tenpo seli","summer"
"tenpo seli lili","springtime"
"tenpo sike","year"
"tenpo sike mun","month"
"tenpo sike mun nanpa luka","May"
"tenpo sike mun nanpa luka luka","October"
"tenpo sike mun nanpa luka luka tu","December"
"tenpo sike mun nanpa luka luka wan","November"
"tenpo sike mun nanpa luka tu","July"
"tenpo sike mun nanpa luka tu tu","September"
"tenpo sike mun nanpa luka tu wan","August"
"tenpo sike mun nanpa luka wan","June"
"tenpo sike mun nanpa tu","February"
"tenpo sike mun nanpa tu tu","April"
"tenpo sike mun nanpa tu wan","March"
"tenpo sike mun nanpa wan","January"
"tenpo sin","again, afresh"
"tenpo suli","long time"
"tenpo suno","day"
"tenpo suno kama","tomorrow"
"tenpo suno luka tu pi pali en pali ala","week"
"tenpo suno mute","many days"
"tenpo suno ni","today"
"tenpo suno pali ala nanpa tu","Sunday"
"tenpo suno pali ala nanpa wan","Saturday"
"tenpo suno pali nanpa luka","Friday"
"tenpo suno pali nanpa tu","Tuesday"
"tenpo suno pali nanpa tu tu","Thursday"
"tenpo suno pali nanpa tu wan","Wednesday"
"tenpo suno pali nanpa wan","Monday"
"tenpo suno pini","yesterday"
"tenpo suno sin","morning"
"tenpo telo","rainy season"
"tenpo telo ala","dry period"
"toki ike","to say negative things"
"toki ike lon","to say bad things about, complain about"
"toki ike tawa","to say bad things to, insult, speak rudely to"
"toki kepeken toki ...","to speak in a language"
"toki nanpa wan","primary language"
"toki pona","to say nice things"
"toki pona e toki","to speak a language well"
"toki pona lon","to say good things about, praise"
"toki pona tawa","to say nice things to, compliment"
"toki sitelen","written language"
"toki sona","proverbs"
"toki utala pi pimeja soweli","a donkey's shadow"
"toki utala tawa","to argue with, criticize"
"toki Utu","Urdu"
"tomo lape","bedroom"
"tomo mani","bank"
"tomo moku","dining room, kitchen, grocery store, restaurant"
"tomo pali","work(place), office, factory, etc."
"tomo pi jan Lisa","Lisa's house"
"tomo pi ona mute","their house"
"tomo pi tawa ala","prison, jailhouse, penitentiary, gaol"
"tomo pi telo en moku pana.","restaurant"
"tomo pona mi","my nice house"
"tomo sona","school, university"
"tomo tawa","car (moving construction)"
"tomo tawa kon","airplane, helicopter"
"tomo tawa mun","spaceship, UFO"
"tomo tawa telo","boat, ship"
"tomo telo","bathroom, restroom"
"tomo unpa","bedroom, boudoir, brothel, sex house"
"unpa nasa","kinky sex"
"unpa sama soweli","doggy style"
"unpa uta","oral sex"
"walo uta","teeth"
"wan sijelo","body part"
"Wanuwatu","Vanuatu"
"Wasikano","Vatican"
"weka e ike jan","forgive somebody"
"wile e pona tawa jan","to wish somebody well"
"wile ike","to have negative intentions, malevolent"
"wile lape","to be tired, sleepy, wanting to rest"
"wile lawa","to be dominant"
"wile moku","to be hungry"
"wile moku e telo","thirsty"
"wile moli","suicidal"
"wile moli e jan","homicidal, wanting to murder"
"wile mute","to crave, really want"
"wile mute ike","to want too much, greedy"
"wile pali e ijo","bored, wanting to do something"
"wile pana e pona","to be helpful"
"wile pona","to have good intentions, mean well"
"wile unpa","horny, lustful"
"wile unpa e meli","to be sexually attracted to women"
"wile unpa e meli e mije","to be sexually attracted to women and men"
"wile unpa e mije","to be sexually attracted to men"
